Menu Item, Avg Price
nino's trattoria & pizzeria,15.047058823529408
mediterraneo ristorante,15.95
steinway pizza,17.95
zpizza,15.75
frank's pizzeria,16.24
kennebunk house of pizza,18.275
little pizza paradise,20.725
icon grill,15.4
california pizza kitchen,55.010000000000005
riccardo's pizza,18.41
pizza bistro,20.5
joey's n y pizza,19.49
patsy's pizzeria,17.0
abo's pizza,18.791666666666668
rivertowne north shore,16.40416666666667
the fire den,22.740000000000006
peter piper pizza,15.99
pirate's cove,17.191111111111113
nypd pizza,16.633333333333333
