Restaurant Name, Count Menu Item,Min Price,Max Price, Avg Price
the fire den,12,8.99,23.99,22.740000000000006
abo's pizza,6,2.75,23.5,18.791666666666668
riccardo's pizza,12,14.0,37.99,18.41
steinway pizza,10,16.0,20.0,17.95
pirate's cove,9,5.79,19.99,17.191111111111113
rivertowne north shore,12,4.95,19.99,16.40416666666667
nino's trattoria & pizzeria,17,2.0,22.95,15.047058823529408
original giorgio's,18,4.95,17.95,14.727777777777773
gran morsi,11,8.0,14.0,13.454545454545455
euro pizzeria,10,2.5,18.99,13.192999999999998
mellow mushroom pizza bakers,7,10.95,12.95,12.521428571428572
greek's pizzeria,6,1.42,19.22,11.955
uno pizzeria & grill,8,9.99,12.99,11.739999999999998
milanos pizza,11,4.5,15.5,11.568181818181818
bravo pizza hollywood,6,5.99,16.99,11.49
antonio's pizza,7,1.79,16.99,10.389999999999999
prima pizza,8,3.49,16.99,10.3025
