Restaurant Name, Menu Item,Price
Keyme,Pizza Toppings,1.75
Taco Pronto,Taco Pizza,1.99
Uno Pizzeria & Grill - Sturbridge,Pizza Skins,2.99
Euro Pizzeria,Specialty Pizza Toppings,3.5
La Hacienda,Mexican Pizza,3.75
Fazoli's,Pizza Slice,4.0
Philly's Subs,Pizza,4.99
Sluggers Sports Bar,Pizza Logs,4.99
Enterprise Deli,Chicken Pizza,5.25
Euro Pizzeria,Pizza Rolls,5.49
Potbelly Sandwich Shop,Pizza Sandwich,5.55
Pirate's Cove,Pizza Bread,5.79
Greek's Pizzeria,Mexico City Pizza,5.99
The Spud Spot,Pizza,6.49
Pie In The Sky,Cheese Pizza,6.95
The Italian Oven,Pizza Fries,6.99
Suraya's - Grill and Fried Chicken,Buffalo Pizza,7.99
Greek's Pizzeria,Mexico City Grill Pizza,7.99
Little Caesars Pizza,3 Meat Treat Pizza,8.0
Tavern At The Inn,Berlin Pizza,8.75
Zios Italian Kitchen - Olathe,Artichoke Chicken Pizza,8.79
Zios Italian Kitchen - Olathe,Barbecue Chicken Pizza,8.79
Zios Italian Kitchen - Olathe,Chicken Club Pizza,8.79
Rancho Viejo Mexican Grill,Mexican Pizza,8.8
Giovanni's Pizza and Pasta,Bbq Chicken Pizza,8.99
Zios Italian Kitchen - Olathe,California Pizza,8.99
Little Caesars Pizza,Ultimate Supreme Pizza,9.0
Chhalma's Place,B.l.t. Pizza,9.99
Mexican Gardens,Homemade Mexican Pizza,9.99
