Restaurant Name, Menu Item,Ingredient Name, Price
Keyme,Pizza Toppings,marinated_chicken_breast,1.75
Euro Pizzeria,Specialty Pizza Toppings,grilled_chicken,3.5
Enterprise Deli,Chicken Pizza,breaded_chicken,5.25
Euro Pizzeria,Pizza Rolls,chicken_parmigiana,5.49
Greek's Pizzeria,Mexico City Pizza,shredded_chicken,5.99
Greek's Pizzeria,Mexico City Grill Pizza,your_choice_of_shredded_chicken,7.99
Suraya's - Grill and Fried Chicken,Buffalo Pizza,crispy_breaded_chicken,7.99
Zios Italian Kitchen - Olathe,Chicken Club Pizza,sliced_chicken_breast,8.79
Zios Italian Kitchen - Olathe,Barbecue Chicken Pizza,with_bbq_chicken_breast,8.79
Zios Italian Kitchen - Olathe,Artichoke Chicken Pizza,with_sliced_chicken_breast,8.79
Giovanni's Pizza and Pasta,Bbq Chicken Pizza,diced_chicken_breast,8.99
Zios Italian Kitchen - Olathe,California Pizza,sliced_grilled_chicken_breast,8.99
Mexican Gardens,Homemade Mexican Pizza,your_choice_of_bbq_chicken,9.99
Uno Pizzeria & Grill,Chicken Verde Artisan Crust Pizza,chicken,12.49
Original Giorgio's,Buffalo Chicken Pizza,grilled_chicken,16.95
Original Giorgio's,Bbq Chicken Pizza,grilled_chicken_breast,16.95
Riccardo's Pizza,Chicken Parmigiana Pizza,fried_chicken,16.95
Original Giorgio's,Mediterranean Pizza,chicken_breast,17.95
Original Giorgio's,Monte Carlo Pizza (white),chicken_breast,17.95
Rivertowne North Shore,Ohio River Pizza,chicken,17.99
Rivertowne North Shore,Buffalo Chicken Pizza,grilled_chicken_breast_smothered,17.99
Steinway Pizza,Caeser Sald Pizza,grilled_chicken,18.5
Nino's Trattoria & Pizzeria,Rancher Pizza,chicken,19.95
Nino's Trattoria & Pizzeria,Chicken Wing Pizza,grilled_chicken,19.95
Nino's Trattoria & Pizzeria,Cheesesteak Stuffed Cheese Pizza,chicken,22.95
