Menu Item, Avg Price
Joey's N Y Pizza,19.49
Steinway Pizza,17.95
Mediterraneo Ristorante,15.95
Riccardo's Pizza,18.41
Burgers & Cupcakes,17.06111111111111
Frank's Pizzeria,16.24
Kennebunk House Of Pizza,18.275
Peter Piper Pizza,15.99
California Pizza Kitchen,55.010000000000005
Patsy's Pizzeria,17.0
Pirate's Cove,17.191111111111113
Brigham Young University,19.95
Icon Grill,15.4
Abo's Pizza,18.791666666666668
Nypd Pizza,16.633333333333336
Little Pizza Paradise,20.725
Rivertowne North Shore,16.40416666666667
Zpizza,15.75
The Fire Den,22.740000000000006
Pizza Bistro,20.5
Nino's Trattoria & Pizzeria,15.047058823529408
