Menu Item,Ingredient
Barbecue Chicken Pizza,bbq chicken breast
Caeser Sald Pizza,grilled chicken
Pizza Toppings,ated chicken breast
Chicken Club Pizza,sliced chicken breast
Homemade Mexican Pizza,choice of bbq chicken
Chicken Parmigiana Pizza,fried chicken
Mexico City Grill Pizza,choice of shredded chicken
Chicken Verde Artisan Crust Pizza,chicken
Buffalo Pizza,crispy breaded chicken
Monte Carlo Pizza (white),chicken breast
Buffalo Chicken Pizza,grilled chicken breast smothered
Ohio River Pizza,chicken
Chicken Pizza,breaded chicken
Artichoke Chicken Pizza,sliced chicken breast
Chicken Wing Pizza,grilled chicken
Stinger Pizza,chunks of breaded chicken
Mexico City Pizza,shredded chicken
Bbq Chicken Pizza,chicken
California Pizza,sliced grilled chicken breast
Specialty Pizza Toppings,grilled chicken
Buffalo Chicken Pizza,chicken
Cheesesteak Stuffed Cheese Pizza,chicken
Rancher Pizza,chicken
Bbq Chicken Pizza,diced chicken breast
Mexican Pizza,chicken
Chicken Parmesan Pizza,chunks of breaded chicken covered
Buffalo Chicken Pizza,grilled chicken
Bbq Chicken Pizza,grilled chicken breast
Pizza Rolls,chicken parmigiana
Mediterranean Pizza,chicken breast
